label,sentence
1,I wanted to leave.
1,The river runs from the lake to the sea.
1,Whether this is feasible hasn't yet been determined.
1,Medea saw who?
0,Doug cleared at the table of dishes.
1,"Poseidon had run away, before the executioner murdered Hera."
1,She is as brilliant a woman as her mother.
1,I know a man who hates me.
1,the enemy's destroying the city was horrific.
0,"They let him go yesterday, him."
0,Gilgamesh doesn't ate the honey
1,I did it more in jest than in anger.
1,He swatted her.
1,Sonatas are easy to play on this violin.
1,Ellen warned Helen that melons were selling.
0,It is deadly afraid of flying that John became.
1,The explosives destroyed the warehouse.
1,In the summer we always go to France.
0,"Kim likes Sandy, and Lee to Leslie."
1,John bought a lot of books for his sons.
0,The table is longer than the door's wide.
1,Bob Dylan is Robert Zimmerman.
1,Anson's hen nibbled his ear.
1,I brought John a razor with which to shave himself.
1,I detached the handle from the box.
1,That Plato loved Aster seemed to be known by everyone.
1,This girl in the red coat will put a picture of Bill on your desk before tomorrow.
1,Which goddess helped us?
1,"Lewis shipped Sam a bicycle, but it never arrived."
0,Willy is taller than Bill by as much as I watch all the games and I know Billy is taller than Dan.
1,I owe it to you that the jury acquitted me.
1,This very heavy parcel was delivered yesterday.
1,she is the mother of John.
0,I consider there a man in that garden.
0,We think for Bill left.
1,Tom bathed Fido in the garage.
0,The room contains many furniture.
0,He's enough of the coward to pull the trigger.
1,I have some papers to try to finish grading.
1,John is eager to find a new home.
0,The captain named Seafarer to the ship.
1,Martha chewed the bread.
0,Why don't you leaving me concentrate on my work?
1,Tom placed it under the table.
0,for John to hurt oneself is stupid.
1,Dorothy needs new shoes.
1,Susan begged to be allowed to sing in the concert.
0,Himself laughs.
1,What happened was they went home.
1,Any cat doesn't like mice.
1,Jack will have a hole in his pocket.
0,What place was the book sent by John?
1,The child became a man.
1,David constructed a house from bricks.
1,The fact that I like strawberry flavored milk shakes is none of your business.
1,Gwen looked at a fire truck.
1,John received the parcel.
1,The news was dealt with carefully.
1,That Jack ever slept is impossible.
1,This girl in the red coat will eat her breakfast before tomorrow and put a picture of Bill on your desk before tomorrow.
1,How did Julie say that Jenny left?
1,The constant rain forced the abandonment of the next day's competitions.
1,They represented Mary seriously as a genuine linguist.
0,Paula swatted the cloth against the fly.
1,The hall is echoing with voices.
1,Who did you give pictures of to friends of?
1,I wonder whether Mary will win.
1,Jason persuaded Medea that she should desert her family
1,Jane isn't sure whether the students keep the books.
1,The tuna will have been eaten.
0,The picture of no one hung upon any wall.
1,Absolutely any owl hunts mice.
1,Lee asked me how fond of chocolates the monkeys are.
1,The ball rolled over the hill.
1,How certain that the Mets will win are you?
0,Mary talked to any man or any woman.
1,Did Merv show up and did you play chess?
1,Why do you think he left?
1,Ethel was sitting at her desk.
0,I brought a razor with which to shave himself.
0,"Always, any lion is majestic."
0,The children came their way to the party.
1,I intoned that she was happy
1,"King prawns cooked in chili salt and pepper was very much better, a simple dish deliciously executed."
1,Tourists admire paintings.
1,A motorist has reported that the road is blocked by snow at Bunker Hill.
0,This list includes my name on itself.
1,The one who broke the window was Mr. Kim.
0,I wanted if he should leave.
1,This machine records well.
1,That Angus hates sushi is mysterious.
1,The girls played in the water and swam under the bridge.
1,Margaret cut the bread.
1,Exactly two boys kissed some girl.
1,Most dragons have been neutered.
1,"Joe likes his bar, and Sally's patrons do too."
1,"Enrico, and he is the smartest of us all, got the answer in seven seconds."
1,"$ 100,000 will build you a house."
1,I ate fruit
0,"Girl in the red coat, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
0,The window broke from hail stones.
1,He treats John very badly.
1,I have wanted to know for many years exactly what happened to Rosa.
1,The shock touched the explosion off.
0,By is eaten monkey banana that the being
1,They waltzed.
1,She disappeared when the main party arrived.
0,She was busy to make lunch.
0,the book with a red cover from Blackwell of poems by Robert Burns takes a very long time to read.
0,Seven more soldiers came in after ten ones had left.
1,Gene Simmons was originally named Haim Goldberg.
1,"It is obvious that the more you eat, the less you want."
1,Which book about Ulysses did you say that you would read?
1,A bear occupies the cave.
0,John coughed the money.
1,That John was elected surprised Frank.
1,Anson saw Anson.
1,Who all did you meet when you were in Derry?
0,The one whose I stole bike was John's.
0,The writers of any of the reports didn't know the answer.
1,I ordered that John drink his beer.
1,Meat fell in price.
1,Students sent letters to the teacher.
1,Gilgamesh hasn't left
1,"Intelligent though he may seem, he does not seem deep."
1,We persuaded the dentist to examine us.
1,It was such an awful picture that I tore it up.
0,"He's a man to whom as for liberty, we could never grant it."
1,In front of them happen.
1,What I believe that he was wearing is this hat.
1,John destroyed the house.
1,It disturbs the Chinese government that the Dalai Lama claims Tibet independence.
1,It bit me on the leg.
0,I brought a razor to shave myself with.
1,The sheep cry
1,The builder of his house visited Peter.
1,Hardly was there any rain falling.
1,This is the gold that John put under the bathtub.
0,Did that Medea killed her children upset Jason?
0,Mike talked to about politics yesterday my friends.
1,Burn letters to Peter!
0,Jim does have supported the theory.
0,You should attempt answering every question.
0,Megan loves.
1,Who does he admire?
0,There tries to leave the country.
1,They would have been walking for hours.
1,John learned a lesson.
1,He rode out the storm.
1,What do you think the man who is standing by the door is doing now?
1,I regret it exceedingly that she was lying.
1,Cats ate the spider.
1,Did the potion boil over?
1,He offers more than we had hoped for.
1,We peered into the closet.
0,It is the best students he gives this book.
1,much information is needed.
1,People go hunting in the Autumn.
0,This building is than that one.
1,I would prefer that he not have finished.
1,John would prefer for the children to finish the oatmeal.
0,Angela characterized Shelly a lifesaver.
0,I think if John likes his beer.
1,Which report that John revised did he submit?
1,This is the paper that we really need to find the linguist who understands.
1,You and I are as little alike as a horse and a cow.
1,The swindler cheated Pat of her fortune.
1,They seemed all to like John.
1,"Tom, Dick, and Harry know it."
1,I gave the charity.
1,Everyone attended some seminar.
1,The Dodgers beat the Red Sox and the Dodgers were beaten by the Giants.
1,It would be inconvenience to leave so soon.
0,The king kept put his gold under the bathtub.
1,A flowering plant is on the windowsill.
1,A serious accident happened yesterday.
0,How intelligent do you wonder whether I consider John?
1,Bill coughed out the window.
0,He's an as reliable man.
0,Willy is taller than Bill by as much as I know a boy who thinks that Bill is taller than Dan.
0,We listened to as little speech as possible.
0,There stabbed an animal.
0,A good friend is remained to me.
1,Cohen proved the independence of the continuum hypothesis.
0,It is reluctant that Jean left.
1,Bob proved that this set is recursive.
1,I'm sorry he bought a car.
1,"Kim was dancing, and Sandy was, too."
0,I prefer for the girl to wins.
1,She sold the car to Sam for five dollars.
1,Maxwell isn't half the doctor that people around here believe that his father was.
1,Pelé visited his uncle.
1,The question of whether John met Mary worries the people who support.
1,Wilt is taller than it is generally believed that Bill is.
1,He planted the garden with roses last November.
1,John's refusing the offer is shocking.
1,Lucy sent a letter to Jane.
0,On that meeting I'd like to sit in.
0,What did John wonder who would win?
0,Has that we have arrived back at our starting point proved that the world is round?
1,Ellen warned against skating on thin ice.
0,John believed Kim to leaving here.
1,Who left Bill.
1,What you should do is order one first.
1,Mary always has preferred lemons to limes.
0,Monkeys are eager leaving the compound.
0,Waldo didn't report the possibility that anyone had left.
1,Maxwell is more of a doctor than his son is.
1,I've got to try and find that screw.
1,The dog caught the cat.
0,Gilgamesh has been not reading the cuneiform tablets.
1,the cat seems to be out of the bag.
1,The intense cold killed the climbers.
0,What did you eat some popcorn and drink?
1,Which chemical did you mix the hydrogen peroxide and?
1,Make yourself comfortable.
1,The boys don't all want to leave.
0,This girl in the red coat will put a picture of Bill on your desk it before tomorrow.
1,Andy promised that we would go.
1,Pat persuaded Leslie to be aggressive.
0,The old dog died all the way.
0,Patrick to leave is likely.
0,much bags is needed.
1,John couldn't visit Sally.
0,Who does Phineas know a girl who is behind?
1,Are you always thinking dirty thoughts?
0,Steve tossed Anna with the ball.
1,The clue that John got was more helpful than the one that Smith got.
0,"He seems to become more corrupt, if every senator talks to more lobbyists."
0,How do you wonder which problem to solve?
0,The persons on whom we kept tabs all proved to be innocent.
1,We hope that such a vaccine could be available in ten years.
1,The thief stole the painting for Mr. Smith.
1,It seems that Agamemnon is a maniac
1,I saw and he chops.
1,The close brush with the law put the fear of god in him.
1,They didn't leave any food.
0,"They can't do it, can he?"
1,Which city does Fred think that you believe that John lives in?
1,"While José won't talk about Mag, he might about Holly."
1,It is obvious to everybody that Tasha likes Misha.
1,It is not allowed to incriminate oneself.
0,John convinced the rice to be cooked by Bill.
1,The gardener watered the tulips flat.
1,Fruit hit the roof.
0,This dough shapes a good loaf.
1,The rats ran through the maze.
1,We gave a fresh coat of paint to the house.
1,One of major factors affecting the value of diamonds was their weight.
1,Birds fly.
1,How much headway is he likely to make.
1,The soldiers lodged in the schoolhouse.
0,Anson believed to be happy.
1,They're not finding it a stress being in the same office.
0,Dry the baby with the cloth torn.
0,Mary noticed that John excessively appreciates herself.
0,Doug cleared at the table.
1,For John to train his horse would be desirable.
1,The accident happened.
1,The war intensified the poverty.
1,I reported having kissed Mary.
1,Every town in every country I had to I visited.
1,There is only one chemical substance involved in nerve transmission.
1,"Read Fred's story, I also want to."
0,They rumor that he left town.
0,Kim must bakes a cake.
1,There jumped out of the box a little white rabbit.
1,Pauline hammered the metal flat.
1,This is the box in which John put his gold.
1,If he sees one; he'll bring me a hot dog.
1,John was seeing his children.
0,I have John's to grade paper.
1,There exists a solution to this problem.
0,Louis was sent a book to.
1,What Medea arranged was for her children to be poisoned.
1,Edmund wanted Fanny to be able to ride a horse.
1,Sharon shivered at the thought of the cold sea.
1,I forgot to return the book that I borrowed from the teacher.
1,The government kept all the money.
0,The librarians likes books.
1,I made John easy to get along with.
1,They praised the volunteers.
0,What I said that was we would go.
1,Would John hate that?
1,This is the student pictures of whom appeared in the newspaper.
1,My niece could write me letters more faithfully.
1,Mary tried to go abroad.
0,The problem is easy to solve the question.
1,Who seems to be certain to leave first?
1,The plan was rejected out of hand that traffic should be banned.
1,A solution to the problem presented itself yesterday.
1,Which animals appear to have lost their collars?
1,Bill cried himself to sleep.
1,The farm passed to John.
1,The building's roof is leaking.
0,John placed the flute.
1,They promised me to leave.
1,I threw the ball to the other side of the field.
1,Lee voted for Bill because his father told him to.
0,The bed was fallen on by the dust.
0,Spray the wall with all the paint.
1,Paula hit the fence.
1,Joe warned the class that the exam would be difficult.
1,"He hasn't often paid taxes, has he?"
1,The men would have been all working.
0,Everything was paid twice for.
0,It tried to bother me that Chris lied.
1,The men would not enjoy that.
0,What do you believe that iron is to be a fact well known to virtually everybody?
1,Where do you guys live at?
1,Adam asked if Hyacinth likes pineapples.
1,Nora pushed the chair against the wall.
1,Not speaking English is a disadvantage.
0,John made Mary cooking Korean food.
0,He mended.
1,Know yourself!
0,That acorn will grow from a seed into an oak tree.
1,Stephen persuaded Ben to be careful.
1,The witch vanished into the forest.
0,I put the book to Sally.
0,I went out with a girl who that John showed up pleased.
1,Who admires what?
0,"Fluffy is sick, which I slapped a boy who wouldn't acknowledge."
0,Ellen talked Helen.
1,People selling their stocks caused the crash of 1929.
1,John often kisses Mary.
1,Our neighbor takes his children to school in his car.
1,I do not think it unreasonable to ask for the return of my subscription.
1,Price quotes on selected categories will be sent out upon request.
1,I am fond of him.
1,This is a hat which I'm going to see to it that my wife buys.
1,The cat seems to be out of the bag.
1,Brezhnev had said for Andropov to leave.
1,Here's the whiskey which I went to the store and bought.
1,We believe that he is quite reasonable.
0,Robin arrived all the way at the station.
1,Waldo didn't report that anyone had left.
1,Martina is deathly afraid of spiders.
1,It is likely that John has loved Mary.
1,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve it.
1,He figured out the answer.
1,"In the classroom, the teacher praised John, whom I also respect."
1,"So quickly did the vampire move, that we barely saw him."
1,I'm sorry that anybody hates me.
0,He figured out it.
1,John seems to sleep all day.
0,That new handle detaches from the box easily.
1,They made him angry.
1,Kim depends on Sandy.
1,John believes him to be a nice guy.
1,Every man who said he would buy some salmon did buy some salmon.
1,I know I bought the book you recommended.
0,I am eating a mango and Gillian has too.
1,"As John eats more, keep your mouth shut tighter, OK?"
1,"Mary, who John asked for help, thinks he is foolish."
1,Kim is eager to please.
0,"Ron wanted to wear a tuxedo to the party, but wear a tuxedo to the party Caspar couldn't decide whether to."
0,Fruit dropped from the tree from the clouds.
1,I am not going.
1,Heidi gave a present to herself.
1,Erin never keeps her pencils in the correct drawer.
1,A large flag fluttered over the fort.
1,Mary will play the violin soon.
0,"My uncle didn't buy anything for Christmas, but my aunt did it for him and it was bright red."
1,Columbus believed that the earth was round.
1,Jim will go if he feels good.
1,Little did I know that more trouble was just around the corner.
0,"The man, who I think might be drunk, that is escaping hit me."
1,Cohen proved that the continuum hypothesis was independent.
0,I inquired John to like his beer.
1,"The more contented we pretended to be, the more we grew angry at the doctors."
0,Mary appreciates John and himself.
0,He washed ourselves.
0,There were killed three men.
1,Carol cut at the bread.
0,It is Kim on whom that Sandy relies.
0,Paintings admire easily.
0,Frank promised the men all to leave.
1,I put the book on the desk on Sunday.
1,I'm glad anybody likes me!
0,There is strangers in that garden.
1,Who did Medea poison?
1,This silver polishes itself.
1,Whose book did you find?
1,Every reading of Shakespeare satisfied me
0,John is prouder of having gone than John didn't expect me to believe he would be.
0,Stephen persuaded it to be easy to please Kim.
1,Kevin urged Anne to be loyal to her.
1,Calvin has eaten a peanut.
1,Susan wanted to sleep.
0,Lee likes not Kim.
0,Cynthia gobbled at the pizza .
1,Never have I stolen from any members of your family.
1,John promised Mary that he would leave.
1,Sally eats the stuff more.
1,Anson demonized David every day.
1,An example of these substances be tobacco.
0,What they saw is Bill leave.
1,The potatoes baked.
0,Briana showed himself Justin.
1,Paul had eighty eight billion sixty three million forty-four thousand nine hundred at
1,I would prefer for John to be the candidate.
1,Half of the year be dark and wintry.
1,John tried to kiss Mary.
0,The scissors is lost
1,These enthusiastic golfers that I met at the nineteenth hole can be good company.
1,I read a statement about that man.
1,Did you believe him to ever have made an effort to talk to the student?
1,The horse kicked Penny in the shin.
1,Each student speaks two languages.
0,That beans he likes is now obvious.
0,The shock flinched Sharon.
0,We caught them eaten the bananas.
1,John is prouder of having gone than Sally expected Joan to believe that the man who didn't shave would be.
0,The committee has all now resigned.
1,That the principal would fire some teacher was expected by the reporters.
1,"That they spoke to the janitor about that robbery yesterday, the cops, is terrible."
1,I think it's time you give your lovely illness to someone else!
1,People are said to do crazier things at higher speeds there by Dorothy than they are by other people.
1,Bill's reading Shakespeare satisfied me
0,That brought the letter is Bill.
0,John kisses often Mary.
1,That bottle of water might.
1,Lilly should buy salmon and Mary should too.
1,Odysseus planned to hear the sirens.
1,Jeff must have eaten the deep fried muffin.
1,"It's obvious that Mary, he can't stand."
0,the logs piled the barge high.
1,I admired him as a teacher.
1,That the sun was out was obvious.
0,Fred knows which book for the children to read during the summer vacation.
1,"The more people that you give beer to, the more people that get sick."
1,"Yes, she will."
1,"This is the book of which Bill approves, and this is the one of which he doesn't."
0,He's the happiest that I've ever seen him drunk and.
1,Sharon flinched.
1,The builders destroyed the warehouse.
1,The tuna had been being eaten.
0,"It started to rain after Jackie and me, we had finally gotten to our seats."
1,Bill sold Tom a car.
1,Sarah smiled.
1,He failed chemistry because he can't understand it.
1,Amanda drove the package to Pamela.
1,Some of the record contains evidence of wrongdoing.
0,They have no went.
1,"Dave, Dan, Erin, and Alina left."
1,Susan bought some flowers for her birthday.
1,Why she told him is unclear.
0,"The harder it rains, the faster who runs?"
1,Nora brought the book from horne.
0,I didn't eat any ice cream and any cake.
1,Who will John ask for information about summer courses?
1,Willy is taller than Bill by as much as Joe is taller than the Dan.
1,We believed him to be the headmaster
0,Any boy saw no one.
1,Benjamin gave the cloak and sent the book to Lee
1,Jean was given a prize.
0,I've never seen you ate asparagus.
0,That he ever went there alone is certain.
0,Maxwell isn't half the doctor that I know an African chief who is.
1,I read him two statements about himself.
0,Bill cried Sue to sleep.
0,Martha carved the piece of wood from a branch into a toy.
1,"They can't stand each other, him and her."
1,To improve myself is a goal for next year.
1,"The more that pictures of himself appear in the news, the more embarrassed John becomes."
1,My brother meets few Americans in Vienna.
0,Ate Bill his dinner?
1,That's something I would have paid twice for.
1,There are 3 firemen available.
1,This map is what he wants.
1,Tom keeps asking Karen's sister to buy the car.
0,It was in the park last night that the policeman met several young students.
0,The book to whom did you give.
1,"Smith loaned a valuable collection of manuscripts to the library, and his widow later donated a valuable collection of manuscripts to the library."
0,They heard John's criticism of themselves.
0,She thought it was easy for everyone would fit into the car.
1,The sinking of the ship to collect the insurance was very devious.
1,Kick them!
1,Who do you think you saw?
1,Give the bottle to the baby full.
0,He impresses his friends all as pompous.
1,Jessica sprayed water at me.
1,Which club did you hit the winning putt with?
1,"Because John persuaded Sally to, he didn't have to talk to the reporters."
1,That arrows don't stop in midair is captured by this theory.
1,The owl hated the evil bat and the wise eagle
0,John heard Mary describe himself.
1,John did not write books.
1,That the visiting team won the race could surprise them.
1,That bottle of water might have.
0,When I read them and enjoyed them was not until I was perhaps twenty-five.
1,John made it clear that he would finish it on time.
1,Dane is a doctor.
1,They will give me a hat which I know that I won't like.
0,It and that he loved another was painfully evident that she loved him.
1,It was then that he felt a sharp pain.
0,many evidence was provided.
0,I broke the twig and the branch.
1,Jill threw the ball from home plate to third base.
0,The student met the senator for John to meet Bill.
1,"Tom picked these grapes, and I washed these grapes, and Suzie will prepare these grapes."
0,Ellen and Helen conferred together.
0,Sam didn't pick those packages up until it had stopped raining which are to be mailed tomorrow.
0,The cup emptied with water.
0,John ate a carrot and Mary did so a radish.
0,The box contained the ball to the ground.
1,The defendant denied the accusation.
1,They have left.
1,Mary's pictures of herself surprised Bill.
1,I detached that new handle.
1,Most guests will be offended if we don't invite some philosopher.
1,The termites destroyed the sand castle.
1,The spy became too friendly with his new contacts.
1,This drug must first be tested on oneself.
1,"The students of English from Seoul faced many issues in the process of interpreting, transcribing, and editing the poems."
0,Every reading Shakespeare satisfied me
1,They are kind to her.
1,Carmen purchased a dress at Bloomingdale's for $50.
0,The lions ate raw the meat.
1,He is proud of his son's passing the bar exam.
1,They pushed their way through the crowd.
1,She cooked Matt dinner.
1,You please make yourself comfortable and I'll wash the dishes.
1,I don't give a darn.
0,John would be hated to win.
0,"If anybody keeps spoiling the children, John keeps."
1,John talked to a woman.
0,He replied his answer.
1,Anson kicked the cat
1,He should decide soon.
0,"Because never had Sir Thomas been so offended, even Mr Yates left."
0,much tool is needed.
1,John tried.
1,A review seems to have come out yesterday of this article.
1,Which pictures of himself did Chris see in the gallery?
1,Mary expected John to fix the computer.
1,Any man who saw the fly in the food didn't eat dinner.
1,Gilgamesh is in the dungeon.
1,They believed that everybody would pass the test.
1,It was the director that she wants to meet.
1,This should be the beginning of a beautiful friendship.
1,The lake is not to be camped beside by anybody.
1,John gave Bill the book.
0,What sofa will he put the chair between some table and?
1,John has been chosen for the position.
1,John knows whether she will come back.
1,They came running over the hill and through the woods
1,George built both the houses.
0,Why he knows the answer!
1,Both the workers will wear carnations.
1,Into the room sauntered Jeeves.
1,John did not like Mary.
1,He left.
1,Students intended to surprise the teacher.
1,Experts all agree that dreams cause great anxiety and stress are called nightmares.
1,Bill dried the cotton clothes.
0,When in came Aunt Norris Fanny stopped talking.
1,Bill told me something awful: that ice won't sink.
0,Sam offered the ball off the shelf.
1,Ronnie was talking to Lou.
1,It appears to be true that Harry likes girls.
1,Beavers build dams.
1,It is tough to please John.
0,The boy gave the book.
1,They lent a bicycle to me.
0,A bicycle lent to me.
1,On which table and under which flower pot did John put the keys?
0,"John told, and Harry showed, Seymour that Sally was a virgin."
0,The senators to be certain that the president is telling a lie.
0,He would can go
1,I asked which king invaded which city.
1,A rabbit appeared out of the magician's hat.
1,The only relatives who I'd like to do away with are my aunts.
1,how many have you given of these books to these people.
0,A mile to work was run by him.
0,Alan is thinking about that his students are eager to learn English.
1,Chew the biscuit!
0,John loves him.
1,Carla hit Bill's back.
1,The girl he met at the departmental party will very surely call him.
0,The fish boned.
1,There seems to be a fountain in the park.
0,They can down.
1,Rusty talked about himself only after Holly did.
0,Only Glasgow would he travel by train.
1,The car will have been being driven.
1,I want Mary to sign my yearbook.
1,Not reading Shakespeare satisfied me
1,Linda winked in agreement.
1,I put the book on the table.
0,Those are the folks that you just solve this problem and you'll be able to put them on ice.
1,"After John comes home, will Sally take a shower?"
1,To whom did you send the package?
1,They have no car.
1,Do you believe that somebody was looking for something?
1,I sent him something.
1,I ate deep fried muffins.
1,It is the main street.
1,Susan kissed the clown's nose.
0,John made Mary to cook Korean food.
1,Harriet alternated folk songs and pop songs.
1,This is how he did it.
1,John wagered there to have been a stranger in that haunted house.
1,A fragrant stew bubbled over the fire.
1,"The more we study verbs, the crazier they get."
1,John eats more.
1,"I don't really want to go to the dentist's, but I know I should."
1,How many strings did you say she had to pull in order to do that?
0,Emily showed himself to Benjamin in the mirror.
0,The maple changed into an oak from a cedar.
1,John is touching the wall.
1,She held him by the arm.
1,"Ron's likely to be on the Web, isn't he?"
1,He will eat deep fried muffins.
1,We all thought him to be unhappy
1,He looks more formidable than he is.
1,The men would not have all been working.
1,We are using their teaching material.
1,I showed few boys any of the books.
1,Sarah sang an aria.
1,Every student has to come up with three arguments that show that some condition proposed by Bill is wrong.
0,Maxwell isn't half the doctor that that he would be if he studied is certain.
1,I have half a dozen too many of these marbles.
1,Syntax is easy to pretend that you can teach.
0,He kicked herself
0,I met her who grows peaches.
1,"The pictures of Bill, she put on your desk."
1,The captain sank the boat with a torpedo.
1,That was why she looked so nice.
1,John forgot.
1,I lifted the books.
0,Oliver mentioned Charles the problem.
1,I wonder who could solve the problem in this way.
1,Two drops sanitize anything in your house.
0,John referred from the building.
1,Everyone should be able to defend herself.
1,Acknowledge that everyone has limits.
1,The bread was chewed by Martha.
1,I walk.
0,Nora brought at the book to the meeting.
0,Loren was relied on by Pavarotti and Hepburn on by Bond.
0,John did not leaving here.
1,The cat chased pat the mouse.
1,A striped fish swam in the aquarium.
1,Whom did Mary see walking toward the railroad station?
1,This metal won't pound flat.
1,All the students who the papers which they submitted were lousy I'm not going to allow to register next term.
1,Who has drunk my whiskey?
1,Selina touched the horse on the back.
1,John is running to the car.
1,The agents caught the terrorist.
0,She speaks enough clearly.
1,The sponge soaked up the water.
1,Emma made Harriet her friend.
1,You and I may incriminate ourselves.
1,Martha often thinks Kim hates phonology.
1,"This problem, the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters."
1,I didn't eat any ice cream or any cake.
1,Julie felt hot
0,She has kissed she.
1,I asked who did Medea poison.
1,Where has he put the cake?
0,The cat was being eating.
0,Which trombone did the nurse polish and?
0,"The more people you say that will buy tickets, the happier I'll be."
0,Children poison easily.
1,Every student who attended the party had a good time.
0,John may rain.
1,The cat is out of the bag.
0,Am not I going?
1,I asked who John would introduce to who.
1,Phyllis dyed the dress.
1,John fed the baby rice.
0,John will to kick the ball.
1,I heated up the coffee and Sally wiped the table off.
1,I don't know what to do.
1,The clown amused the children.
0,What Medea wondered if was the potion was ready
1,Was the child found?
0,Bill kissed herself.
1,Jeff must not have eaten the deep fried muffin.
1,The baby chewed the biscuit.
0,I had a realization of there.
1,I want to eat asparagus.
1,There seems to be a problem.
1,The jeweller inscribed the name on the ring.
1,Jake threw the ball all the way to Bill.
1,That monkey is ate the banana
1,Gilgamesh has never flown a dragon.
1,I don't want trouble.
1,On his finger there sparkled a magnificent diamond.
1,Mickey slips up all the time.
0,Which language do you want to hire someone who speaks?
1,My family always summers at the seashore.
1,People are in the garden
1,"Sandy must, too."
1,There are two main characters in the novel.
1,Alan made the loaf with strong white flour.
1,Pat has become a Republican.
1,John did leave.
1,It was John that was waiting at the restaurant.
1,This is my ultimate goal.
1,The builders destroyed the warehouse with explosives.
1,I inquired when we could leave.
1,Humans love to eat the old pigs.
0,Who was that Plato loved obvious?
0,He knows he.
0,Better you not drink.
1,And it was this matter on which I consulted with the chairman of the Select Committee.
0,I sent the devil the salesman.
0,We kicked myself
1,Italy borders France.
1,We believed John to try to leave the country.
0,The string cut.
0,And Toni danced Bartlett.
1,Accountants audit our finances every year.
1,This Government has been more transparent in the way they have dealt with public finances than any previous government.
0,"When did Fanny return, she found Tom Bertram very ill."
1,The pond froze solid.
0,I find it easy to believe - but Joan finds it hard to believe - Tom to be dishonest.
0,I heard that John criticized myself.
1,Carol cut the whole wheat bread.
0,"The president could not approve the bill, could he?"
1,Which packages which are to be mailed tomorrow is it possible that Sam didn't pick up until it had stopped raining?
1,Paula swatted Deirdre on the back.
1,These ones are to be smuggled from Hungary.
1,He put the clothes.
1,Mary has more enemies than Bill has friends.
1,He's something of a gossip.
1,Gary and Kevin ran themselves into exhaustion.
1,Fiona must not eat the sauteed candy canes.
0,John placed on the table.
1,John is taller than that man is.
0,"What dl,d John fall asleep and Bill wear?"
0,Monica covered a blanket over the baby.
1,You and I are as alike as a horse and a cow.
1,Some of the fruit be going bad.
1,"`` Doing my taxes '' gives a headache to 22 percent of Americans surveyed for Pfizer, which makes tylenol pain relief medicine."
1,The sheriff denied that gangsters had bribed him.
0,An echoing voice rang out.
1,That we invaded Iraq really freaks me out.
1,John shot the ball perfectly.
1,I'm glad a linguist likes me.
1,Owners of a pig love to eat truffles.
0,John wagered a stranger to have been in that haunted house.
1,Absolutely any pilot could be flying this plane.
1,His friend learned dancing.
1,"That guy, who I think might be drunk, just hit me!"
1,The hardest that I think I remember him ever telling me that he had heard of it snowing around here was last January 12th.
1,It is with long hair.
0,I prefer.
1,It was last night that the policeman met several young students in the park.
1,He figured Ann out.
1,I threw the ball to Maria.
0,"The more contented the nurses began to believe that we were going to pretend to be, the more angry we grew at the doctors."
1,Shannon left quietly every day.
1,Sincerity is an important quality.
0,Dorothy is needing new shoes.
1,The window broke from the force of the wind.
1,Betsy loves herself in blue leather.
1,Moya's football team loved her
1,Poseidon appears to own a dragon
1,"Sam picked those packages up which are to be mailed tomorrow rest might, but he didn't want to do so until it had stopped raining."
1,Catherine did her homework.
1,Fred was believed to have wanted to try to dance.
0,George built the houses both.
1,The son took care of his parents.
1,I like circus performers.
0,Gwen exchanged the dress to Mary.
1,All the foxes were hunted by Larry.
1,"$100,000 will build a house."
1,They spoil their kids rotten.
1,"I think that the more you eat, the less you want."
1,I read that Bill had seen me.
1,The heat melted the ice cream.
1,"Any senator seems to become more corrupt, as he talks to more lobbyists."
1,Doug removed the scratches from around the sink.
1,Where Alison and David soaked their feet was in the kitchen
1,"While I might want to, this is the kind of thing that Harris has already suggested."
0,Mickey slips all the time up.
0,Steve tossed the wall with the ball.
1,That Jean left is likely.
0,Celia brushed.
0,John write books.
1,They haven't decided which attorney will give the closing argument.
1,We're dancing the night away.
1,Kim may have admitted to let Mary mow the lawn.
1,The jeweller printed the name under the picture.
1,The clown amused the children with his antics.
0,He said that himself was hungry.
1,"The harder it rains, how much faster do you run?"
1,The students demonstrated the technique this morning
1,Mary will complete her exam within an hour.
0,He attributed to a short circuit the fire.
0,I searched treasure in the cave.
1,It is to the best students that he gives this book.
1,Jaime danced a jig.
1,I saw only the student.
1,The gardener watered the flowers.
1,Ray found it frustrating that his policies made little impact on poverty.
1,We painted the chairs all red.
1,The moon glows.
1,Are you studying English syntax?
1,For Mary to love that boor is a travesty.
1,They are investigating all people owning parakeets.
0,Lee not left.
1,the rice was cooked by Bill.
0,I read him Judy's statement about himself.
1,I have as many too many marbles as you.
1,No student who read anything passed.
1,Bill seems to himself to be handsome.
1,She has enough of a problem as it is.
1,All of the plant virus web sites have been conveniently collected in one central location.
1,To which city and which conference did Bill go?
1,It seems that John is likely to win.
1,Her family is all avid skiers.
1,Mary sang for anyone who wanted to hear her.
1,They have no TV.
1,He waltzed her across the floor.
0,It was some beer or it took place some beer.
1,Aphrodite freed animals
0,"The fact, I put it down to that Kim came."
0,Which boy works in a skyscraper and the girl in a quonset hut?
0,She has problem enough as it is.
0,"They can't do it, can't they?"
1,The bullets whistled past the house.
1,Which girl ate the cake?
